[170400006807d0a6	00 68]	104 ug/m^3
[170400006807d0a6	00 68]	104 ug/m^3
[170400006807d0a6	00 68]	104 ug/m^3
[170400006807d0a6	00 68]	104 ug/m^3
[170400006807d0a6	00 68]	104 ug/m^3
[170400006907d0a5	00 69]	105 ug/m^3
[170400006907d0a5	00 69]	105 ug/m^3
[170400006a07d0a4	00 6a]	106 ug/m^3
[170400006a07d0a4	00 6a]	106 ug/m^3
[170400006a07d0a4	00 6a]	106 ug/m^3
[170400006c07d0a2	00 6c]	108 ug/m^3
[170400006d07d0a1	00 6d]	109 ug/m^3
[170400006d07d0a1	00 6d]	109 ug/m^3
[170400006d07d0a1	00 6d]	109 ug/m^3
[170400006e07d0a0	00 6e]	110 ug/m^3
[170400007007d09e	00 70]	112 ug/m^3
[170400007107d09d	00 71]	113 ug/m^3
[170400007107d09d	00 71]	113 ug/m^3
[170400007307d09b	00 73]	115 ug/m^3
[170400007407d09a	00 74]	116 ug/m^3
[170400007507d099	00 75]	117 ug/m^3
[170400007607d098	00 76]	118 ug/m^3
[170400007707d097	00 77]	119 ug/m^3
[170400007807d096	00 78]	120 ug/m^3
[170400007807d096	00 78]	120 ug/m^3
[170400007907d095	00 79]	121 ug/m^3
[170400007a07d094	00 7a]	122 ug/m^3
[170400007b07d093	00 7b]	123 ug/m^3
[170400007c07d092	00 7c]	124 ug/m^3
[170400007e07d090	00 7e]	126 ug/m^3
[170400007e07d090	00 7e]	126 ug/m^3
[170400007f07d08f	00 7f]	127 ug/m^3
[170400007f07d017	00 7f]	127 ug/m^3
[170400008207d08c	00 82]	130 ug/m^3
[170400008407d08a	00 84]	132 ug/m^3
[170400008407d08a	00 84]	132 ug/m^3
[170400008507d089	00 85]	133 ug/m^3
[170400008607d088	00 86]	134 ug/m^3
[170400008607d088	00 86]	134 ug/m^3
[170400008707d087	00 87]	135 ug/m^3
[170400008807d086	00 88]	136 ug/m^3
[170400008907d085	00 89]	137 ug/m^3
[170400008b07d083	00 8b]	139 ug/m^3
[170400008b07d083	00 8b]	139 ug/m^3
[170400008c07d082	00 8c]	140 ug/m^3
[170400008d07d081	00 8d]	141 ug/m^3
[170400008f07d07f	00 8f]	143 ug/m^3
[170400009107d07d	00 91]	145 ug/m^3
[170400009107d07d	00 91]	145 ug/m^3
[170400009207d07c	00 92]	146 ug/m^3
[170400009207d07c	00 92]	146 ug/m^3
[170400009607d078	00 96]	150 ug/m^3
[170400009607d078	00 96]	150 ug/m^3
[170400009707d077	00 97]	151 ug/m^3
[170400009907d075	00 99]	153 ug/m^3
[170400009a07d074	00 9a]	154 ug/m^3
[170400009b07d073	00 9b]	155 ug/m^3
[170400009b07d073	00 9b]	155 ug/m^3
[170400009b07d073	00 9b]	155 ug/m^3
[170400009c07d072	00 9c]	156 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
[170400009d07d071	00 9d]	157 ug/m^3
